DETAILSID,ORDERNUMBER,QUANTITYORDERED,PRODUCTCODE,PRICEEACH,SALES,DEALSIZEID
42,10304,47,S10_1949,216.44,10172.7,
43,10312,48,S10_1949,242.16,11623.7,
44,10322,40,S10_1949,150.01,6000.4,
45,10347,30,S10_1949,131.49,3944.7,
46,10357,32,S10_1949,177.87,5691.84,
47,10369,41,S10_1949,110.12,4514.92,
48,10391,24,S10_1949,100.69,2416.56,
49,10411,23,S10_1949,180.01,4140.23,
50,10424,50,S10_1949,240.02,12001.0,
51,10107,39,S10_2016,99.91,3896.49,
52,10120,29,S10_2016,96.34,2793.86,
53,10134,27,S10_2016,122.51,3307.77,
54,10145,37,S10_2016,140.35,5192.95,
55,10168,27,S10_2016,135.59,3660.93,
56,10180,42,S10_2016,111.8,4695.6,
57,10188,38,S10_2016,96.34,3660.92,
58,10210,23,S10_2016,130.83,3009.09,
59,10223,47,S10_2016,115.37,5422.39,
60,10236,22,S10_2016,129.64,2852.08,
61,10251,44,S10_2016,130.83,5756.52,
62,10263,40,S10_2016,111.8,4472.0,
63,10275,22,S10_2016,132.02,2904.44,
64,10285,47,S10_2016,137.97,6484.59,
65,10298,39,S10_2016,96.34,3757.26,
66,10308,34,S10_2016,118.94,4043.96,
67,10318,45,S10_2016,123.7,5566.5,
68,10329,20,S10_2016,158.8,3176.0,
69,10339,40,S10_2016,68.92,2756.8,
70,10361,26,S10_2016,51.15,1329.9,
71,10374,39,S10_2016,135.59,5288.01,
72,10388,50,S10_2016,44.51,2225.5,
73,10402,45,S10_2016,129.64,5833.8,
74,10417,45,S10_2016,130.83,5887.35,
75,10107,27,S10_4698,224.65,6065.55,
76,10120,46,S10_4698,201.41,9264.86,
77,10134,31,S10_4698,226.58,7023.98,
78,10145,33,S10_4698,156.86,5176.38,
79,10168,20,S10_4698,209.15,4183.0,
80,10180,41,S10_4698,216.9,8892.9,
81,10188,45,S10_4698,193.66,8714.7,
82,10210,34,S10_4698,180.1,6123.4,
83,10223,49,S10_4698,199.47,9774.03,
84,10237,39,S10_4698,180.1,7023.9,
85,10251,43,S10_4698,164.61,7078.23,
86,10263,41,S10_4698,203.34,8336.94,
87,10275,36,S10_4698,191.72,6901.92,
88,10285,27,S10_4698,201.41,5438.07,
89,10299,29,S10_4698,230.46,6683.34,
90,10308,20,S10_4698,228.52,4570.4,
91,10318,37,S10_4698,207.22,7667.14,
92,10329,26,S10_4698,225.7,5868.2,
93,10339,39,S10_4698,76.67,2990.13,
94,10362,22,S10_4698,166.55,3664.1,
95,10374,22,S10_4698,174.29,3834.38,
96,10388,21,S10_4698,86.77,1822.17,
97,10403,66,S10_4698,180.1,11886.6,
98,10417,56,S10_4698,164.61,9218.16,
99,10105,50,S10_4757,144.16,7208.0,
100,10119,46,S10_4757,108.8,5004.8,
101,10129,33,S10_4757,133.28,4398.24,
102,10143,49,S10_4757,114.24,5597.76,
103,10155,32,S10_4757,141.44,4526.08,
104,10167,44,S10_4757,134.64,5924.16,
105,10178,24,S10_4757,145.52,3492.48,
106,10186,26,S10_4757,148.24,3854.24,
107,10197,45,S10_4757,118.32,5324.4,
108,10222,49,S10_4757,122.4,5997.6,
109,10248,20,S10_4757,145.52,2910.4,
110,10261,27,S10_4757,125.12,3378.24,
111,10273,30,S10_4757,116.96,3508.8,
112,10283,25,S10_4757,119.68,2992.0,
113,10295,24,S10_4757,142.8,3427.2,
114,10307,22,S10_4757,122.4,2692.8,
115,10316,33,S10_4757,125.12,4128.96,
116,10325,47,S10_4757,64.93,3051.71,
117,10337,25,S10_4757,48.05,1201.25,
118,10350,26,S10_4757,75.47,1962.22,
119,10359,48,S10_4757,54.68,2624.64,
120,10373,39,S10_4757,103.75,4046.25,
121,10395,32,S10_4757,105.33,3370.56,
122,10400,64,S10_4757,150.96,9661.44,
123,10414,19,S10_4757,145.52,2764.88,
124,10103,42,S10_4962,128.53,5398.26,
125,10114,31,S10_4962,138.88,4305.28,
126,10126,22,S10_4962,152.17,3347.74,
127,10140,26,S10_4962,122.62,3188.12,
128,10150,20,S10_4962,159.56,3191.2,
129,10164,21,S10_4962,168.42,3536.82,
130,10175,33,S10_4962,162.51,5362.83,
131,10183,28,S10_4962,122.62,3433.36,
132,10194,26,S10_4962,163.99,4263.74,
133,10207,31,S10_4962,131.49,4076.19,
134,10217,48,S10_4962,146.26,7020.48,
135,10229,50,S10_4962,128.53,6426.5,
136,10245,28,S10_4962,163.99,4591.72,
137,10259,26,S10_4962,155.13,4033.38,
138,10270,32,S10_4962,134.44,4302.08,
139,10281,44,S10_4962,159.56,7020.64,
140,10291,30,S10_4962,128.53,3855.9,
141,10305,38,S10_4962,175.81,6680.78,
142,10313,40,S10_4962,166.95,6678.0,
143,10322,46,S10_4962,61.99,2851.54,
144,10334,26,S10_4962,122.62,3188.12,
145,10347,27,S10_4962,164.0,4428.0,
146,10357,43,S10_4962,134.44,5780.92,
147,10370,35,S10_4962,65.63,2297.05,
148,10391,37,S10_4962,46.9,1735.3,
149,10411,27,S10_4962,163.99,4427.73,
150,10425,38,S10_4962,155.13,5894.94,
151,10108,33,S12_1099,159.55,5265.15,
152,10122,42,S12_1099,180.95,7599.9,
153,10135,42,S12_1099,190.68,8008.56,
154,10147,48,S12_1099,192.62,9245.76,
155,10169,30,S12_1099,167.33,5019.9,
156,10181,27,S12_1099,200.41,5411.07,
157,10191,21,S12_1099,182.9,3840.9,
158,10203,20,S12_1099,196.52,3930.4,
159,10211,41,S12_1099,182.9,7498.9,
160,10225,27,S12_1099,167.33,4517.91,
161,10238,28,S12_1099,206.24,5774.72,
162,10253,24,S12_1099,163.44,3922.56,
163,10266,44,S12_1099,208.19,9160.36,
164,10276,50,S12_1099,192.62,9631.0,
165,10287,21,S12_1099,163.44,3432.24,
166,10300,33,S12_1099,167.33,5521.89,
167,10310,33,S12_1099,210.14,6934.62,
168,10320,31,S12_1099,221.81,6876.11,
169,10329,41,S12_1099,71.47,2930.27,
170,10341,45,S12_1099,79.65,3584.25,
171,10363,33,S12_1099,85.39,2817.87,
172,10375,45,S12_1099,76.0,3420.0,
173,10389,26,S12_1099,99.04,2575.04,
174,10419,12,S12_1099,163.44,1961.28,
175,10105,41,S12_1108,211.96,8690.36,
176,10117,33,S12_1108,182.86,6034.38,
177,10127,46,S12_1108,245.2,11279.2,
178,10142,33,S12_1108,243.13,8023.29,
179,10153,20,S12_1108,245.2,4904.0,
180,10165,44,S12_1108,195.33,8594.52,
181,10176,33,S12_1108,226.5,7474.5,
182,10185,21,S12_1108,184.94,3883.74,
183,10196,47,S12_1108,189.1,8887.7,
184,10208,46,S12_1108,187.02,8602.92,
185,10220,32,S12_1108,224.42,7181.44,
186,10231,42,S12_1108,199.49,8378.58,
187,10247,44,S12_1108,241.05,10606.2,
188,10272,35,S12_1108,166.24,5818.4,
189,10282,41,S12_1108,172.47,7071.27,
190,10293,46,S12_1108,182.86,8411.56,
191,10306,31,S12_1108,211.96,6570.76,
192,10314,38,S12_1108,209.88,7975.44,
193,10325,42,S12_1108,64.0,2688.0,
194,10336,33,S12_1108,57.22,1888.26,
195,10348,48,S12_1108,52.36,2513.28,
196,10359,42,S12_1108,113.44,4764.48,
197,10371,32,S12_1108,111.27,3560.64,
198,10382,34,S12_1108,112.46,3823.64,
199,10395,33,S12_1108,69.12,2280.96,
200,10413,36,S12_1108,241.05,8677.8,
201,10103,27,S12_1666,125.74,3394.98,
202,10113,21,S12_1666,162.64,3415.44,
203,10126,21,S12_1666,116.17,2439.57,
204,10140,38,S12_1666,127.1,4829.8,
205,10150,30,S12_1666,136.67,4100.1,
206,10164,49,S12_1666,133.94,6563.06,
207,10174,43,S12_1666,158.54,6817.22,
208,10183,41,S12_1666,150.34,6163.94,
209,10194,38,S12_1666,129.84,4933.92,
210,10206,28,S12_1666,144.87,4056.36,
211,10216,43,S12_1666,133.94,5759.42,
212,10229,25,S12_1666,138.04,3451.0,
213,10245,38,S12_1666,155.8,5920.4,
214,10258,41,S12_1666,162.64,6668.24,
215,10270,28,S12_1666,146.24,4094.72,
216,10281,25,S12_1666,117.54,2938.5,
217,10291,41,S12_1666,155.8,6387.8,
218,10304,39,S12_1666,164.0,6396.0,
219,10313,21,S12_1666,127.1,2669.1,
220,10322,27,S12_1666,177.19,4784.13,
221,10347,29,S12_1666,123.67,3586.43,
222,10357,49,S12_1666,121.64,5960.36,
223,10370,49,S12_1666,172.86,8470.14,
224,10391,39,S12_1666,63.2,2464.8,
225,10411,40,S12_1666,155.8,6232.0,
226,10424,49,S12_1666,162.64,7969.36,
227,10107,21,S12_2823,144.6,3036.6,
228,10121,50,S12_2823,165.68,8284.0,
229,10134,20,S12_2823,135.56,2711.2,
230,10145,49,S12_2823,170.2,8339.8,
231,10169,35,S12_2823,132.55,4639.25,
232,10180,40,S12_2823,168.69,6747.6,
233,10189,28,S12_2823,161.16,4512.48,
234,10211,36,S12_2823,132.55,4771.8,
235,10224,43,S12_2823,141.58,6087.94,
236,10237,32,S12_2823,131.04,4193.28,
237,10251,46,S12_2823,164.18,7552.28,
238,10263,48,S12_2823,134.05,6434.4,
239,10276,43,S12_2823,120.5,5181.5,
240,10285,49,S12_2823,140.08,6863.92,
241,10299,24,S12_2823,173.21,4157.04,
242,10309,26,S12_2823,179.24,4660.24,
243,10319,30,S12_2823,137.06,4111.8,
244,10329,24,S12_2823,147.61,3542.64,
245,10341,55,S12_2823,147.61,8118.55,
246,10362,22,S12_2823,176.23,3877.06,
247,10375,49,S12_2823,78.92,3867.08,
248,10388,44,S12_2823,135.26,5951.44,
249,10403,66,S12_2823,131.04,8648.64,
250,10417,21,S12_2823,164.18,3447.78,
251,10104,34,S12_3148,175.25,5958.5,
252,10117,43,S12_3148,137.48,5911.64,
253,10127,46,S12_3148,160.14,7366.44,
254,10142,33,S12_3148,151.08,4985.64,
255,10153,42,S12_3148,128.42,5393.64,
256,10165,34,S12_3148,143.53,4880.02,
257,10176,47,S12_3148,178.27,8378.69,
258,10185,33,S12_3148,122.37,4038.21,
259,10196,24,S12_3148,158.63,3807.12,
260,10208,26,S12_3148,120.86,3142.36,
261,10220,30,S12_3148,157.12,4713.6,
262,10230,43,S12_3148,163.17,7016.31,
263,10247,25,S12_3148,175.25,4381.25,
264,10272,27,S12_3148,158.63,4283.01,
265,10282,27,S12_3148,161.66,4364.82,
266,10293,24,S12_3148,176.76,4242.24,
267,10306,34,S12_3148,146.55,4982.7,
268,10314,46,S12_3148,138.99,6393.54,
269,10324,27,S12_3148,54.33,1466.91,
270,10336,33,S12_3148,123.01,4059.33,
271,10348,47,S12_3148,102.16,4801.52,
272,10358,49,S12_3148,55.34,2711.66,
273,10372,40,S12_3148,146.55,5862.0,
274,10382,37,S12_3148,110.05,4071.85,
275,10413,47,S12_3148,175.25,8236.75,
276,10108,45,S12_3380,136.23,6130.35,
277,10122,37,S12_3380,99.82,3693.34,
278,10135,48,S12_3380,125.66,6031.68,
279,10147,31,S12_3380,112.74,3494.94,
280,10170,47,S12_3380,116.27,5464.69,
281,10181,28,S12_3380,102.17,2860.76,
282,10191,40,S12_3380,139.75,5590.0,
283,10203,20,S12_3380,112.74,2254.8,
284,10212,39,S12_3380,126.84,4946.76,
285,10225,25,S12_3380,99.82,2495.5,
286,10238,29,S12_3380,109.22,3167.38,
287,10253,22,S12_3380,109.22,2402.84,
288,10266,22,S12_3380,111.57,2454.54,
289,10276,47,S12_3380,116.27,5464.69,
290,10287,45,S12_3380,105.7,4756.5,
291,10300,29,S12_3380,137.4,3984.6,
292,10310,24,S12_3380,129.18,3100.32,
293,10320,35,S12_3380,138.58,4850.3,
294,10329,46,S12_3380,83.63,3846.98,
295,10341,44,S12_3380,95.93,4220.92,
296,10363,34,S12_3380,96.73,3288.82,
297,10376,35,S12_3380,113.92,3987.2,
298,10389,25,S12_3380,72.38,1809.5,
299,10419,10,S12_3380,109.22,1092.2,
300,10105,29,S12_3891,157.45,4566.05,
301,10117,39,S12_3891,152.26,5938.14,
302,10127,42,S12_3891,193.78,8138.76,
303,10142,46,S12_3891,205.89,9470.94,
304,10153,49,S12_3891,143.61,7036.89,
305,10165,27,S12_3891,205.89,5559.03,
306,10176,50,S12_3891,157.45,7872.5,
307,10185,43,S12_3891,183.4,7886.2,
308,10196,38,S12_3891,190.32,7232.16,
309,10208,20,S12_3891,155.72,3114.4,
310,10220,27,S12_3891,186.86,5045.22,
311,10231,49,S12_3891,141.88,6952.12,
312,10247,27,S12_3891,153.99,4157.73,
313,10272,39,S12_3891,204.16,7962.24,
314,10282,24,S12_3891,157.45,3778.8,
315,10293,45,S12_3891,183.4,8253.0,
316,10306,20,S12_3891,181.67,3633.4,
317,10314,36,S12_3891,192.05,6913.8,
318,10325,24,S12_3891,107.65,2583.6,
319,10336,49,S12_3891,63.38,3105.62,
320,10349,26,S12_3891,169.56,4408.56,
321,10359,49,S12_3891,62.09,3042.41,
322,10372,34,S12_3891,174.75,5941.5,
323,10382,34,S12_3891,95.35,3241.9,
324,10396,33,S12_3891,185.13,6109.29,
325,10413,22,S12_3891,153.99,3387.78,
326,10108,39,S12_3990,89.38,3485.82,
327,10122,32,S12_3990,63.84,2042.88,
328,10135,24,S12_3990,75.01,1800.24,
329,10147,21,S12_3990,63.84,1340.64,
330,10169,36,S12_3990,63.84,2298.24,
331,10181,20,S12_3990,81.4,1628.0,
332,10191,30,S12_3990,64.64,1939.2,
333,10203,44,S12_3990,82.99,3651.56,
334,10211,28,S12_3990,92.57,2591.96,
335,10225,37,S12_3990,77.41,2864.17,
336,10238,20,S12_3990,74.21,1484.2,
337,10253,25,S12_3990,90.17,2254.25,
338,10266,35,S12_3990,76.61,2681.35,
339,10276,38,S12_3990,83.79,3184.02,
340,10287,41,S12_3990,69.43,2846.63,
341,10300,22,S12_3990,76.61,1685.42,
342,10310,49,S12_3990,81.4,3988.6,
343,10320,38,S12_3990,73.42,2789.96,
344,10329,33,S12_3990,109.32,3607.56,
345,10341,36,S12_3990,93.56,3368.16,
346,10363,34,S12_3990,81.62,2775.08,
347,10377,24,S12_3990,67.83,1627.92,
348,10389,36,S12_3990,70.26,2529.36,
349,10419,34,S12_3990,90.17,3065.78,
350,10104,41,S12_4473,112.58,4615.78,
351,10115,46,S12_4473,124.43,5723.78,
352,10127,24,S12_4473,106.65,2559.6,
353,10141,21,S12_4473,101.91,2140.11,
354,10151,24,S12_4473,138.65,3327.6,
355,10165,48,S12_4473,142.2,6825.6,
356,10175,26,S12_4473,136.28,3543.28,
357,10184,37,S12_4473,122.06,4516.22,
358,10195,49,S12_4473,131.54,6445.46,
359,10207,34,S12_4473,99.54,3384.36,
360,10219,48,S12_4473,101.91,4891.68,
361,10229,36,S12_4473,125.61,4521.96,
362,10246,46,S12_4473,110.21,5069.66,
363,10259,46,S12_4473,142.2,6541.2,
364,10271,31,S12_4473,97.17,3012.27,
365,10281,41,S12_4473,127.98,5247.18,
366,10292,21,S12_4473,105.47,2214.87,
367,10305,38,S12_4473,125.61,4773.18,
368,10314,45,S12_4473,137.46,6185.7,
369,10324,26,S12_4473,58.38,1517.88,
370,10336,38,S12_4473,167.7,6372.6,
371,10349,48,S12_4473,109.02,5232.96,
372,10358,42,S12_4473,64.16,2694.72,
373,10371,49,S12_4473,35.71,1749.79,
374,10382,32,S12_4473,66.58,2130.56,
375,10412,54,S12_4473,110.21,5951.34,
376,10425,33,S12_4473,142.2,4692.6,
377,10108,36,S12_4675,103.64,3731.04,
378,10122,20,S12_4675,107.1,2142.0,
379,10135,29,S12_4675,97.89,2838.81,
380,10147,33,S12_4675,97.89,3230.37,
381,10170,41,S12_4675,107.1,4391.1,
382,10181,36,S12_4675,124.37,4477.32,
383,10192,27,S12_4675,131.28,3544.56,
384,10203,47,S12_4675,110.55,5195.85,
385,10212,33,S12_4675,126.68,4180.44,
386,10225,21,S12_4675,127.83,2684.43,
387,10239,21,S12_4675,93.28,1958.88,
388,10253,41,S12_4675,119.77,4910.57,
389,10266,40,S12_4675,111.71,4468.4,
390,10277,28,S12_4675,111.71,3127.88,
391,10287,23,S12_4675,116.31,2675.13,
392,10300,23,S12_4675,122.07,2807.61,
393,10310,25,S12_4675,100.19,2504.75,
394,10321,24,S12_4675,124.37,2984.88,
395,10329,39,S12_4675,64.74,2524.86,
396,10341,55,S12_4675,75.2,4136.0,
397,10363,46,S12_4675,88.45,4068.7,
398,10377,50,S12_4675,103.64,5182.0,
399,10389,47,S12_4675,111.57,5243.79,
400,10405,97,S12_4675,93.28,9048.16,
401,10419,32,S12_4675,119.77,3832.64,
402,10103,35,S18_1097,112.0,3920.0,
403,10113,49,S18_1097,100.34,4916.66,
404,10126,38,S18_1097,101.5,3857.0,
405,10140,32,S18_1097,130.67,4181.44,
406,10150,34,S18_1097,136.5,4641.0,
407,10164,36,S18_1097,99.17,3570.12,
408,10174,48,S18_1097,93.34,4480.32,
409,10183,21,S18_1097,96.84,2033.64,
410,10194,21,S18_1097,93.34,1960.14,
411,10206,34,S18_1097,116.67,3966.78,
412,10215,46,S18_1097,112.0,5152.0,
413,10228,32,S18_1097,105.0,3360.0,
414,10245,29,S18_1097,119.0,3451.0,
415,10258,41,S18_1097,133.0,5453.0,
416,10270,43,S18_1097,96.84,4164.12,
417,10280,24,S18_1097,116.67,2800.08,
418,10291,41,S18_1097,114.34,4687.94,
419,10304,46,S18_1097,98.0,4508.0,
420,10312,32,S18_1097,130.67,4181.44,
421,10322,22,S18_1097,102.32,2251.04,
422,10347,42,S18_1097,49.6,2083.2,
423,10357,39,S18_1097,98.0,3822.0,
424,10370,27,S18_1097,144.87,3911.49,
425,10391,29,S18_1097,85.1,2467.9,
426,10411,27,S18_1097,119.0,3213.0,
427,10424,54,S18_1097,133.0,7182.0,
428,10109,26,S18_1129,168.43,4379.18,
429,10122,34,S18_1129,147.2,5004.8,
430,10136,25,S18_1129,145.79,3644.75,
431,10148,23,S18_1129,117.48,2702.04,
432,10161,28,S18_1129,134.46,3764.88,
433,10171,35,S18_1129,128.8,4508.0,
434,10181,44,S18_1129,123.14,5418.16,
435,10192,22,S18_1129,150.03,3300.66,
436,10204,42,S18_1129,147.2,6182.4,
437,10212,29,S18_1129,144.37,4186.73,
438,10225,32,S18_1129,141.54,4529.28,
439,10240,41,S18_1129,137.29,5628.89,
440,10253,26,S18_1129,117.48,3054.48,
441,10266,21,S18_1129,120.31,2526.51,
442,10278,34,S18_1129,137.29,4667.86,
443,10287,41,S18_1129,158.52,6499.32,
444,10301,37,S18_1129,159.94,5917.78,
445,10310,37,S18_1129,168.43,6231.91,
446,10321,41,S18_1129,141.54,5803.14,
447,10331,46,S18_1129,139.87,6434.02,
448,10342,40,S18_1129,161.36,6454.4,
449,10356,43,S18_1129,97.6,4196.8,
450,10365,30,S18_1129,87.06,2611.8,
451,10377,35,S18_1129,168.43,5895.05,
452,10390,36,S18_1129,93.77,3375.72,
453,10406,61,S18_1129,137.29,8374.69,
454,10419,38,S18_1129,117.48,4464.24,
455,10102,39,S18_1342,123.29,4808.31,
456,10125,32,S18_1342,101.71,3254.72,
457,10139,31,S18_1342,102.74,3184.94,
458,10149,50,S18_1342,118.15,5907.5,
459,10173,43,S18_1342,117.12,5036.16,
460,10182,25,S18_1342,87.33,2183.25,
461,10193,28,S18_1342,110.96,3106.88,
462,10205,36,S18_1342,103.77,3735.72,
463,10215,27,S18_1342,89.38,2413.26,
464,10227,25,S18_1342,118.15,2953.75,
465,10244,40,S18_1342,117.12,4684.8,
466,10256,34,S18_1342,95.55,3248.7,
467,10280,50,S18_1342,104.79,5239.5,
468,10289,38,S18_1342,120.21,4567.98,
469,10304,37,S18_1342,95.55,3535.35,
470,10312,43,S18_1342,89.38,3843.34,
471,10322,43,S18_1342,86.3,3710.9,
472,10332,46,S18_1342,95.13,4375.98,
473,10346,42,S18_1342,36.11,1516.62,
474,10356,50,S18_1342,50.18,2509.0,
475,10369,44,S18_1342,210.01,9240.44,
476,10380,27,S18_1342,93.16,2515.32,
477,10391,35,S18_1342,158.54,5548.9,
478,10422,51,S18_1342,95.55,4873.05,
479,10102,41,S18_1367,50.14,2055.74,
480,10126,42,S18_1367,54.99,2309.58,
481,10139,49,S18_1367,43.13,2113.37,
482,10149,30,S18_1367,58.22,1746.6,
483,10173,48,S18_1367,44.21,2122.08,
484,10182,32,S18_1367,54.45,1742.4,
485,10193,46,S18_1367,53.37,2455.02,
486,10205,48,S18_1367,63.61,3053.28,
487,10215,33,S18_1367,43.13,1423.29,
488,10227,31,S18_1367,48.52,1504.12,
489,10244,20,S18_1367,58.22,1164.4,
490,10256,29,S18_1367,51.75,1500.75,
491,10280,27,S18_1367,57.68,1557.36,
492,10289,24,S18_1367,56.07,1345.68,
493,10304,37,S18_1367,48.52,1795.24,
494,10312,25,S18_1367,44.21,1105.25,
495,10322,41,S18_1367,57.68,2364.88,
496,10332,27,S18_1367,89.89,2427.03,
497,10347,21,S18_1367,58.95,1237.95,
498,10356,22,S18_1367,72.41,1593.02,
499,10369,32,S18_1367,98.63,3156.16,
500,10391,42,S18_1367,119.0,4998.0,
501,10422,25,S18_1367,51.75,1293.75,
502,10110,37,S18_1589,146.84,5433.08,
503,10123,26,S18_1589,118.22,3073.72,
504,10137,44,S18_1589,99.55,4380.2,
505,10148,47,S18_1589,124.44,5848.68,
506,10161,43,S18_1589,143.11,6153.73,
507,10172,42,S18_1589,118.22,4965.24,
508,10181,42,S18_1589,129.42,5435.64,
509,10192,29,S18_1589,146.84,4258.36,
510,10204,40,S18_1589,100.8,4032.0,
511,10212,38,S18_1589,118.22,4492.36,
512,10226,38,S18_1589,109.51,4161.38,
513,10241,21,S18_1589,119.46,2508.66,
514,10253,24,S18_1589,140.62,3374.88,
515,10266,36,S18_1589,144.35,5196.6,
516,10278,23,S18_1589,113.24,2604.52,
517,10288,20,S18_1589,146.84,2936.8,
518,10301,32,S18_1589,107.02,3424.64,
519,10311,29,S18_1589,100.8,2923.2,
520,10321,44,S18_1589,102.04,4489.76,
521,10331,44,S18_1589,110.21,4849.24,
522,10343,36,S18_1589,162.47,5848.92,
523,10367,49,S18_1589,56.3,2758.7,
524,10378,34,S18_1589,42.64,1449.76,
525,10407,59,S18_1589,119.46,7048.14,
526,10419,37,S18_1589,140.62,5202.94,
527,10106,36,S18_1662,146.65,5279.4,
528,10119,43,S18_1662,160.84,6916.12,
529,10131,21,S18_1662,132.46,2781.66,
530,10143,32,S18_1662,164.0,5248.0,
531,10155,38,S18_1662,171.88,6531.44,
532,10167,43,S18_1662,134.04,5763.72,
533,10178,42,S18_1662,154.54,6490.68,
534,10186,32,S18_1662,187.65,6004.8,
535,10198,42,S18_1662,178.19,7483.98,
536,10210,31,S18_1662,184.5,5719.5,
537,10222,49,S18_1662,141.92,6954.08,
538,10250,45,S18_1662,181.34,8160.3,
539,10262,49,S18_1662,134.04,6567.96,
540,10274,41,S18_1662,164.0,6724.0,
541,10284,45,S18_1662,127.73,5747.85,
542,10296,36,S18_1662,157.69,5676.84,
543,10307,39,S18_1662,189.23,7379.97,
544,10316,27,S18_1662,137.19,3704.13,
545,10327,25,S18_1662,112.19,2804.75,
546,10338,41,S18_1662,137.19,5624.79,
547,10351,39,S18_1662,99.52,3881.28,
548,10373,28,S18_1662,57.55,1611.4,
549,10386,25,S18_1662,54.57,1364.25,
550,10398,33,S18_1662,127.73,4215.09,
551,10400,34,S18_1662,189.23,6433.82,
552,10416,24,S18_1662,181.34,4352.16,
553,10100,30,S18_1749,171.7,5151.0,
554,10110,42,S18_1749,144.5,6069.0,
555,10124,21,S18_1749,136.0,2856.0,
556,10149,34,S18_1749,158.1,5375.4,
557,10173,24,S18_1749,146.2,3508.8,
558,10182,44,S18_1749,171.7,7554.8,
559,10193,21,S18_1749,149.6,3141.6,
560,10204,33,S18_1749,178.5,5890.5,
561,10214,30,S18_1749,198.9,5967.0,
562,10227,26,S18_1749,142.8,3712.8,
563,10241,41,S18_1749,185.3,7597.3,
564,10280,26,S18_1749,141.1,3668.6,
565,10288,32,S18_1749,183.6,5875.2,
566,10302,43,S18_1749,170.0,7310.0,
567,10312,48,S18_1749,168.3,8078.4,
568,10331,44,S18_1749,74.04,3257.76,
569,10344,45,S18_1749,170.0,7650.0,
570,10367,37,S18_1749,127.13,4703.81,
571,10379,39,S18_1749,138.45,5399.55,
572,10407,76,S18_1749,185.3,14082.8,
573,10420,37,S18_1749,142.8,5283.6,
574,10108,38,S18_1889,82.39,3130.82,
575,10122,43,S18_1889,72.38,3112.34,
576,10135,48,S18_1889,79.31,3806.88,
577,10147,26,S18_1889,82.39,2142.14,
578,10170,20,S18_1889,63.14,1262.8,
579,10181,22,S18_1889,73.92,1626.24,
580,10192,45,S18_1889,90.86,4088.7,
581,10203,45,S18_1889,85.47,3846.15,
582,10212,20,S18_1889,66.99,1339.8,
583,10225,47,S18_1889,64.68,3039.96,
584,10239,46,S18_1889,73.92,3400.32,
585,10253,23,S18_1889,83.93,1930.39,
586,10266,33,S18_1889,74.69,2464.77,
587,10278,29,S18_1889,90.86,2634.94,
588,10287,44,S18_1889,82.39,3625.16,
589,10300,41,S18_1889,92.4,3788.4,
590,10310,20,S18_1889,91.63,1832.6,
591,10321,37,S18_1889,78.54,2905.98,
592,10329,29,S18_1889,101.89,2954.81,
593,10342,55,S18_1889,65.45,3599.75,
594,10363,22,S18_1889,167.57,3686.54,
595,10377,31,S18_1889,67.76,2100.56,
596,10389,49,S18_1889,79.22,3881.78,
597,10405,61,S18_1889,73.92,4509.12,
598,10419,39,S18_1889,83.93,3273.27,
599,10109,38,S18_1984,116.65,4432.7,
600,10122,31,S18_1984,132.29,4100.99,
601,10136,36,S18_1984,146.52,5274.72,
602,10148,25,S18_1984,169.28,4232.0,
603,10161,48,S18_1984,128.03,6145.44,
