ORDERNUMBER,PRODUCTCODE,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,orderdetailid,dealsizeid,productid,SALES
10119,S10_4757,46,108.8,11,100,2,5,5004.8
10129,S10_4757,33,133.28,2,101,2,5,4398.24
10143,S10_4757,49,114.24,15,102,2,5,5597.76
10155,S10_4757,32,141.44,13,103,2,5,4526.08
10167,S10_4757,44,134.64,9,104,2,5,5924.16
10178,S10_4757,24,145.52,12,105,2,5,3492.48
10186,S10_4757,26,148.24,9,106,2,5,3854.24
10197,S10_4757,45,118.32,6,107,2,5,5324.4
10222,S10_4757,49,122.4,12,108,2,5,5997.6
10248,S10_4757,20,145.52,3,109,1,5,2910.4
10261,S10_4757,27,125.12,1,110,2,5,3378.24
10273,S10_4757,30,116.96,4,111,2,5,3508.8
10283,S10_4757,25,119.68,6,112,1,5,2992.0
10295,S10_4757,24,142.8,1,113,2,5,3427.2
10307,S10_4757,22,122.4,9,114,1,5,2692.8
10316,S10_4757,33,125.12,17,115,2,5,4128.96
10325,S10_4757,47,64.93,6,116,2,5,3051.71
10337,S10_4757,25,48.05,8,117,1,5,1201.25
10350,S10_4757,26,75.47,5,118,1,5,1962.22
10359,S10_4757,48,54.68,6,119,1,5,2624.64
10373,S10_4757,39,103.75,3,120,2,5,4046.25
10395,S10_4757,32,105.33,2,121,2,5,3370.56
10400,S10_4757,64,150.96,9,122,3,5,9661.44
10414,S10_4757,19,145.52,3,123,1,5,2764.88
10103,S10_4962,42,128.53,4,124,2,6,5398.26
10114,S10_4962,31,138.88,8,125,2,6,4305.28
10126,S10_4962,22,152.17,4,126,3,6,3347.74
10140,S10_4962,26,122.62,4,127,3,6,3188.12
10150,S10_4962,20,159.56,1,128,3,6,3191.2
10164,S10_4962,21,168.42,2,129,2,6,3536.82
10175,S10_4962,33,162.51,9,130,2,6,5362.83
10183,S10_4962,28,122.62,1,131,2,6,3433.36
10194,S10_4962,26,163.99,4,132,3,6,4263.74
10207,S10_4962,31,131.49,15,133,2,6,4076.19
10217,S10_4962,48,146.26,4,134,3,6,7020.48
10229,S10_4962,50,128.53,9,135,2,6,6426.5
10245,S10_4962,28,163.99,2,136,2,6,4591.72
10259,S10_4962,26,155.13,12,137,2,6,4033.38
10270,S10_4962,32,134.44,2,138,2,6,4302.08
10281,S10_4962,44,159.56,9,139,3,6,7020.64
10291,S10_4962,30,128.53,4,140,3,6,3855.9
10305,S10_4962,38,175.81,13,141,2,6,6680.78
10313,S10_4962,40,166.95,7,142,2,6,6678.0
10322,S10_4962,46,61.99,8,143,2,6,2851.54
10334,S10_4962,26,122.62,2,144,2,6,3188.12
10347,S10_4962,27,164.0,2,145,2,6,4428.0
10357,S10_4962,43,134.44,9,146,2,6,5780.92
10370,S10_4962,35,65.63,4,147,1,6,2297.05
10391,S10_4962,37,46.9,7,148,1,6,1735.3
10411,S10_4962,27,163.99,2,149,2,6,4427.73
10425,S10_4962,38,155.13,12,150,2,6,5894.94
10108,S12_1099,33,159.55,6,151,2,7,5265.15
10122,S12_1099,42,180.95,10,152,3,7,7599.9
10135,S12_1099,42,190.68,7,153,3,7,8008.56
10147,S12_1099,48,192.62,7,154,3,7,9245.76
10169,S12_1099,30,167.33,2,155,2,7,5019.9
10181,S12_1099,27,200.41,14,156,2,7,5411.07
10191,S12_1099,21,182.9,3,157,2,7,3840.9
10203,S12_1099,20,196.52,8,158,2,7,3930.4
10211,S12_1099,41,182.9,2,159,2,7,7498.9
10225,S12_1099,27,167.33,9,160,2,7,4517.91
10238,S12_1099,28,206.24,3,161,2,7,5774.72
10253,S12_1099,24,163.44,13,162,2,7,3922.56
10266,S12_1099,44,208.19,14,163,3,7,9160.36
10276,S12_1099,50,192.62,3,164,3,7,9631.0
10287,S12_1099,21,163.44,12,165,2,7,3432.24
10300,S12_1099,33,167.33,5,166,2,7,5521.89
10310,S12_1099,33,210.14,10,167,2,7,6934.62
10320,S12_1099,31,221.81,3,168,2,7,6876.11
10329,S12_1099,41,71.47,5,169,2,7,2930.27
10341,S12_1099,45,79.65,2,170,3,7,3584.25
10363,S12_1099,33,85.39,3,171,1,7,2817.87
10375,S12_1099,45,76.0,7,172,1,7,3420.0
10389,S12_1099,26,99.04,4,173,1,7,2575.04
10419,S12_1099,12,163.44,13,174,1,7,1961.28
10105,S12_1108,41,211.96,15,175,3,8,8690.36
10117,S12_1108,33,182.86,9,176,2,8,6034.38
10127,S12_1108,46,245.2,2,177,3,8,11279.2
10142,S12_1108,33,243.13,12,178,3,8,8023.29
10153,S12_1108,20,245.2,11,179,2,8,4904.0
10165,S12_1108,44,195.33,3,180,3,8,8594.52
10176,S12_1108,33,226.5,2,181,3,8,7474.5
10185,S12_1108,21,184.94,13,182,2,8,3883.74
10196,S12_1108,47,189.1,5,183,3,8,8887.7
10208,S12_1108,46,187.02,13,184,3,8,8602.92
10220,S12_1108,32,224.42,2,185,3,8,7181.44
10231,S12_1108,42,199.49,2,186,3,8,8378.58
10247,S12_1108,44,241.05,2,187,3,8,10606.2
10272,S12_1108,35,166.24,2,188,2,8,5818.4
10282,S12_1108,41,172.47,5,189,3,8,7071.27
10293,S12_1108,46,182.86,8,190,3,8,8411.56
10306,S12_1108,31,211.96,13,191,2,8,6570.76
10314,S12_1108,38,209.88,5,192,3,8,7975.44
10325,S12_1108,42,64.0,8,193,2,8,2688.0
10336,S12_1108,33,57.22,10,194,1,8,1888.26
10348,S12_1108,48,52.36,8,195,1,8,2513.28
10359,S12_1108,42,113.44,8,196,1,8,4764.48
10371,S12_1108,32,111.27,6,197,2,8,3560.64
10382,S12_1108,34,112.46,10,198,2,8,3823.64
10395,S12_1108,33,69.12,1,199,2,8,2280.96
10413,S12_1108,36,241.05,2,200,3,8,8677.8
10103,S12_1666,27,125.74,8,201,2,9,3394.98
10113,S12_1666,21,162.64,2,202,2,9,3415.44
10126,S12_1666,21,116.17,8,203,3,9,2439.57
10140,S12_1666,38,127.1,8,204,3,9,4829.8
10150,S12_1666,30,136.67,5,205,3,9,4100.1
10164,S12_1666,49,133.94,6,206,2,9,6563.06
10174,S12_1666,43,158.54,1,207,3,9,6817.22
10183,S12_1666,41,150.34,5,208,2,9,6163.94
10194,S12_1666,38,129.84,8,209,3,9,4933.92
10206,S12_1666,28,144.87,3,210,3,9,4056.36
10216,S12_1666,43,133.94,1,211,2,9,5759.42
10229,S12_1666,25,138.04,13,212,2,9,3451.0
10245,S12_1666,38,155.8,6,213,2,9,5920.4
10258,S12_1666,41,162.64,3,214,3,9,6668.24
10270,S12_1666,28,146.24,6,215,2,9,4094.72
10281,S12_1666,25,117.54,13,216,3,9,2938.5
10291,S12_1666,41,155.8,8,217,3,9,6387.8
10304,S12_1666,39,164.0,3,218,3,9,6396.0
10313,S12_1666,21,127.1,11,219,2,9,2669.1
10322,S12_1666,27,177.19,9,220,2,9,4784.13
10347,S12_1666,29,123.67,3,221,2,9,3586.43
10357,S12_1666,49,121.64,8,222,2,9,5960.36
10370,S12_1666,49,172.86,8,223,1,9,8470.14
10391,S12_1666,39,63.2,9,224,1,9,2464.8
10411,S12_1666,40,155.8,6,225,2,9,6232.0
10424,S12_1666,49,162.64,3,226,3,9,7969.36
10107,S12_2823,21,144.6,1,227,1,10,3036.6
10121,S12_2823,50,165.68,4,228,1,10,8284.0
10134,S12_2823,20,135.56,1,229,2,10,2711.2
10145,S12_2823,49,170.2,5,230,2,10,8339.8
10169,S12_2823,35,132.55,13,231,2,10,4639.25
10180,S12_2823,40,168.69,8,232,1,10,6747.6
10189,S12_2823,28,161.16,1,233,2,10,4512.48
10211,S12_2823,36,132.55,13,234,2,10,4771.8
10224,S12_2823,43,141.58,6,235,2,10,6087.94
10237,S12_2823,32,131.04,6,236,1,10,4193.28
10251,S12_2823,46,164.18,1,237,2,10,7552.28
10263,S12_2823,48,134.05,1,238,2,10,6434.4
10276,S12_2823,43,120.5,14,239,3,10,5181.5
10285,S12_2823,49,140.08,5,240,2,10,6863.92
10299,S12_2823,24,173.21,8,241,1,10,4157.04
10309,S12_2823,26,179.24,4,242,2,10,4660.24
10319,S12_2823,30,137.06,9,243,2,10,4111.8
10329,S12_2823,24,147.61,6,244,2,10,3542.64
10341,S12_2823,55,147.61,8,245,3,10,8118.55
10362,S12_2823,22,176.23,1,246,2,10,3877.06
10375,S12_2823,49,78.92,13,247,1,10,3867.08
10388,S12_2823,44,135.26,6,248,2,10,5951.44
10403,S12_2823,66,131.04,6,249,1,10,8648.64
10417,S12_2823,21,164.18,1,250,3,10,3447.78
10104,S12_3148,34,175.25,1,251,2,11,5958.5
10117,S12_3148,43,137.48,10,252,2,11,5911.64
10127,S12_3148,46,160.14,3,253,3,11,7366.44
10142,S12_3148,33,151.08,13,254,3,11,4985.64
10153,S12_3148,42,128.42,12,255,2,11,5393.64
10165,S12_3148,34,143.53,4,256,3,11,4880.02
10176,S12_3148,47,178.27,3,257,3,11,8378.69
10185,S12_3148,33,122.37,14,258,2,11,4038.21
10196,S12_3148,24,158.63,6,259,3,11,3807.12
10208,S12_3148,26,120.86,14,260,3,11,3142.36
10220,S12_3148,30,157.12,3,261,3,11,4713.6
10230,S12_3148,43,163.17,1,262,3,11,7016.31
10247,S12_3148,25,175.25,3,263,3,11,4381.25
10272,S12_3148,27,158.63,3,264,2,11,4283.01
10282,S12_3148,27,161.66,6,265,3,11,4364.82
10293,S12_3148,24,176.76,9,266,3,11,4242.24
10306,S12_3148,34,146.55,14,267,2,11,4982.7
10314,S12_3148,46,138.99,6,268,3,11,6393.54
10324,S12_3148,27,54.33,1,269,1,11,1466.91
10336,S12_3148,33,123.01,11,270,1,11,4059.33
10348,S12_3148,47,102.16,4,271,1,11,4801.52
10358,S12_3148,49,55.34,5,272,1,11,2711.66
10372,S12_3148,40,146.55,4,273,2,11,5862.0
10382,S12_3148,37,110.05,11,274,2,11,4071.85
10413,S12_3148,47,175.25,3,275,3,11,8236.75
10108,S12_3380,45,136.23,4,276,2,12,6130.35
10122,S12_3380,37,99.82,8,277,3,12,3693.34
10135,S12_3380,48,125.66,5,278,3,12,6031.68
10147,S12_3380,31,112.74,5,279,3,12,3494.94
10170,S12_3380,47,116.27,4,280,2,12,5464.69
10181,S12_3380,28,102.17,12,281,2,12,2860.76
10191,S12_3380,40,139.75,1,282,2,12,5590.0
10203,S12_3380,20,112.74,6,283,2,12,2254.8
10212,S12_3380,39,126.84,16,284,2,12,4946.76
10225,S12_3380,25,99.82,7,285,2,12,2495.5
10238,S12_3380,29,109.22,1,286,2,12,3167.38
10253,S12_3380,22,109.22,11,287,2,12,2402.84
10266,S12_3380,22,111.57,12,288,3,12,2454.54
10276,S12_3380,47,116.27,1,289,3,12,5464.69
10287,S12_3380,45,105.7,10,290,2,12,4756.5
10300,S12_3380,29,137.4,3,291,2,12,3984.6
10310,S12_3380,24,129.18,8,292,2,12,3100.32
10320,S12_3380,35,138.58,1,293,2,12,4850.3
10329,S12_3380,46,83.63,13,294,2,12,3846.98
10341,S12_3380,44,95.93,1,295,3,12,4220.92
10363,S12_3380,34,96.73,4,296,1,12,3288.82
10376,S12_3380,35,113.92,1,297,2,12,3987.2
10389,S12_3380,25,72.38,6,298,1,12,1809.5
10419,S12_3380,10,109.22,11,299,1,12,1092.2
10105,S12_3891,29,157.45,14,300,3,13,4566.05
10117,S12_3891,39,152.26,8,301,2,13,5938.14
10127,S12_3891,42,193.78,1,302,3,13,8138.76
10142,S12_3891,46,205.89,11,303,3,13,9470.94
10153,S12_3891,49,143.61,10,304,2,13,7036.89
10165,S12_3891,27,205.89,2,305,3,13,5559.03
10176,S12_3891,50,157.45,1,306,3,13,7872.5
10185,S12_3891,43,183.4,12,307,2,13,7886.2
10196,S12_3891,38,190.32,4,308,3,13,7232.16
10208,S12_3891,20,155.72,12,309,3,13,3114.4
10220,S12_3891,27,186.86,1,310,3,13,5045.22
10231,S12_3891,49,141.88,1,311,3,13,6952.12
10247,S12_3891,27,153.99,1,312,3,13,4157.73
10272,S12_3891,39,204.16,1,313,2,13,7962.24
10282,S12_3891,24,157.45,4,314,3,13,3778.8
10293,S12_3891,45,183.4,7,315,3,13,8253.0
10306,S12_3891,20,181.67,12,316,2,13,3633.4
10314,S12_3891,36,192.05,4,317,3,13,6913.8
10325,S12_3891,24,107.65,1,318,2,13,2583.6
10336,S12_3891,49,63.38,1,319,1,13,3105.62
10349,S12_3891,26,169.56,10,320,2,13,4408.56
10359,S12_3891,49,62.09,5,321,1,13,3042.41
10372,S12_3891,34,174.75,1,322,2,13,5941.5
10382,S12_3891,34,95.35,12,323,2,13,3241.9
10396,S12_3891,33,185.13,3,324,2,13,6109.29
10413,S12_3891,22,153.99,1,325,3,13,3387.78
10108,S12_3990,39,89.38,7,326,2,14,3485.82
10122,S12_3990,32,63.84,11,327,3,14,2042.88
10135,S12_3990,24,75.01,8,328,3,14,1800.24
10147,S12_3990,21,63.84,8,329,3,14,1340.64
10169,S12_3990,36,63.84,3,330,2,14,2298.24
10181,S12_3990,20,81.4,15,331,2,14,1628.0
10191,S12_3990,30,64.64,4,332,2,14,1939.2
10203,S12_3990,44,82.99,9,333,2,14,3651.56
10211,S12_3990,28,92.57,3,334,2,14,2591.96
10225,S12_3990,37,77.41,10,335,2,14,2864.17
10238,S12_3990,20,74.21,4,336,2,14,1484.2
10253,S12_3990,25,90.17,14,337,2,14,2254.25
10266,S12_3990,35,76.61,15,338,3,14,2681.35
10276,S12_3990,38,83.79,4,339,3,14,3184.02
10287,S12_3990,41,69.43,13,340,2,14,2846.63
10300,S12_3990,22,76.61,6,341,2,14,1685.42
10310,S12_3990,49,81.4,11,342,2,14,3988.6
10320,S12_3990,38,73.42,4,343,2,14,2789.96
10329,S12_3990,33,109.32,14,344,2,14,3607.56
10341,S12_3990,36,93.56,10,345,3,14,3368.16
10363,S12_3990,34,81.62,5,346,1,14,2775.08
10377,S12_3990,24,67.83,5,347,1,14,1627.92
10389,S12_3990,36,70.26,7,348,1,14,2529.36
10419,S12_3990,34,90.17,14,349,1,14,3065.78
10104,S12_4473,41,112.58,9,350,2,15,4615.78
10115,S12_4473,46,124.43,5,351,2,15,5723.78
10127,S12_4473,24,106.65,11,352,3,15,2559.6
10141,S12_4473,21,101.91,5,353,1,15,2140.11
10151,S12_4473,24,138.65,3,354,2,15,3327.6
10165,S12_4473,48,142.2,12,355,3,15,6825.6
10175,S12_4473,26,136.28,1,356,2,15,3543.28
10184,S12_4473,37,122.06,6,357,2,15,4516.22
10195,S12_4473,49,131.54,6,358,2,15,6445.46
10207,S12_4473,34,99.54,7,359,2,15,3384.36
10219,S12_4473,48,101.91,2,360,2,15,4891.68
10229,S12_4473,36,125.61,1,361,2,15,4521.96
10246,S12_4473,46,110.21,5,362,2,15,5069.66
10259,S12_4473,46,142.2,4,363,2,15,6541.2
10271,S12_4473,31,97.17,5,364,2,15,3012.27
10281,S12_4473,41,127.98,1,365,3,15,5247.18
10292,S12_4473,21,105.47,8,366,1,15,2214.87
10305,S12_4473,38,125.61,5,367,2,15,4773.18
10314,S12_4473,45,137.46,14,368,3,15,6185.7
10324,S12_4473,26,58.38,7,369,1,15,1517.88
10336,S12_4473,38,167.7,3,370,1,15,6372.6
10349,S12_4473,48,109.02,9,371,2,15,5232.96
10358,S12_4473,42,64.16,9,372,1,15,2694.72
10371,S12_4473,49,35.71,4,373,2,15,1749.79
10382,S12_4473,32,66.58,13,374,2,15,2130.56
10412,S12_4473,54,110.21,5,375,2,15,5951.34
10425,S12_4473,33,142.2,4,376,2,15,4692.6
10108,S12_4675,36,103.64,3,377,2,16,3731.04
10122,S12_4675,20,107.1,7,378,3,16,2142.0
10135,S12_4675,29,97.89,4,379,3,16,2838.81
10147,S12_4675,33,97.89,4,380,3,16,3230.37
10170,S12_4675,41,107.1,3,381,2,16,4391.1
10181,S12_4675,36,124.37,11,382,2,16,4477.32
10192,S12_4675,27,131.28,16,383,2,16,3544.56
10203,S12_4675,47,110.55,5,384,2,16,5195.85
10212,S12_4675,33,126.68,15,385,2,16,4180.44
10225,S12_4675,21,127.83,6,386,2,16,2684.43
10239,S12_4675,21,93.28,5,387,1,16,1958.88
10253,S12_4675,41,119.77,10,388,2,16,4910.57
10266,S12_4675,40,111.71,11,389,3,16,4468.4
10277,S12_4675,28,111.71,1,390,2,16,3127.88
10287,S12_4675,23,116.31,9,391,2,16,2675.13
10300,S12_4675,23,122.07,2,392,2,16,2807.61
10310,S12_4675,25,100.19,7,393,2,16,2504.75
10321,S12_4675,24,124.37,15,394,1,16,2984.88
10329,S12_4675,39,64.74,15,395,2,16,2524.86
10341,S12_4675,55,75.2,7,396,3,16,4136.0
10363,S12_4675,46,88.45,6,397,1,16,4068.7
10377,S12_4675,50,103.64,1,398,1,16,5182.0
10389,S12_4675,47,111.57,8,399,1,16,5243.79
10405,S12_4675,97,93.28,5,400,3,16,9048.16
10419,S12_4675,32,119.77,10,401,1,16,3832.64
10103,S18_1097,35,112.0,10,402,2,17,3920.0
10113,S18_1097,49,100.34,4,403,2,17,4916.66
10126,S18_1097,38,101.5,10,404,3,17,3857.0
10140,S18_1097,32,130.67,10,405,3,17,4181.44
10150,S18_1097,34,136.5,7,406,3,17,4641.0
10164,S18_1097,36,99.17,8,407,2,17,3570.12
10174,S18_1097,48,93.34,3,408,3,17,4480.32
10183,S18_1097,21,96.84,7,409,2,17,2033.64
10194,S18_1097,21,93.34,10,410,3,17,1960.14
10206,S18_1097,34,116.67,5,411,3,17,3966.78
10215,S18_1097,46,112.0,2,412,2,17,5152.0
10228,S18_1097,32,105.0,1,413,2,17,3360.0
10245,S18_1097,29,119.0,8,414,2,17,3451.0
10258,S18_1097,41,133.0,5,415,3,17,5453.0
10270,S18_1097,43,96.84,8,416,2,17,4164.12
10280,S18_1097,24,116.67,1,417,3,17,2800.08
10291,S18_1097,41,114.34,10,418,3,17,4687.94
10304,S18_1097,46,98.0,5,419,3,17,4508.0
10312,S18_1097,32,130.67,2,420,3,17,4181.44
10322,S18_1097,22,102.32,10,421,2,17,2251.04
10347,S18_1097,42,49.6,5,422,2,17,2083.2
10357,S18_1097,39,98.0,1,423,2,17,3822.0
10370,S18_1097,27,144.87,1,424,1,17,3911.49
10391,S18_1097,29,85.1,10,425,1,17,2467.9
10411,S18_1097,27,119.0,8,426,2,17,3213.0
10424,S18_1097,54,133.0,5,427,3,17,7182.0
10109,S18_1129,26,168.43,4,428,2,18,4379.18
10122,S18_1129,34,147.2,2,429,3,18,5004.8
10136,S18_1129,25,145.79,2,430,2,18,3644.75
10148,S18_1129,23,117.48,13,431,1,18,2702.04
10161,S18_1129,28,134.46,12,432,2,18,3764.88
10171,S18_1129,35,128.8,2,433,2,18,4508.0
10181,S18_1129,44,123.14,6,434,2,18,5418.16
10192,S18_1129,22,150.03,11,435,2,18,3300.66
10204,S18_1129,42,147.2,17,436,2,18,6182.4
10212,S18_1129,29,144.37,10,437,2,18,4186.73
10225,S18_1129,32,141.54,1,438,2,18,4529.28
10240,S18_1129,41,137.29,3,439,2,18,5628.89
10253,S18_1129,26,117.48,5,440,2,18,3054.48
10266,S18_1129,21,120.31,6,441,3,18,2526.51
10278,S18_1129,34,137.29,6,442,2,18,4667.86
10287,S18_1129,41,158.52,4,443,2,18,6499.32
10301,S18_1129,37,159.94,8,444,2,18,5917.78
10310,S18_1129,37,168.43,2,445,2,18,6231.91
10321,S18_1129,41,141.54,10,446,1,18,5803.14
10331,S18_1129,46,139.87,6,447,2,18,6434.02
10342,S18_1129,40,161.36,2,448,2,18,6454.4
10356,S18_1129,43,97.6,8,449,2,18,4196.8
10365,S18_1129,30,87.06,1,450,1,18,2611.8
10377,S18_1129,35,168.43,2,451,1,18,5895.05
10390,S18_1129,36,93.77,14,452,2,18,3375.72
10406,S18_1129,61,137.29,3,453,3,18,8374.69
10419,S18_1129,38,117.48,5,454,1,18,4464.24
10102,S18_1342,39,123.29,2,455,2,19,4808.31
10125,S18_1342,32,101.71,1,456,2,19,3254.72
10139,S18_1342,31,102.74,7,457,2,19,3184.94
10149,S18_1342,50,118.15,4,458,2,19,5907.5
10173,S18_1342,43,117.12,6,459,2,19,5036.16
10182,S18_1342,25,87.33,3,460,1,19,2183.25
10193,S18_1342,28,110.96,7,461,2,19,3106.88
10205,S18_1342,36,103.77,2,462,2,19,3735.72
10215,S18_1342,27,89.38,10,463,2,19,2413.26
10227,S18_1342,25,118.15,3,464,1,19,2953.75
10244,S18_1342,40,117.12,7,465,2,19,4684.8
10256,S18_1342,34,95.55,2,466,2,19,3248.7
10280,S18_1342,50,104.79,9,467,3,19,5239.5
10289,S18_1342,38,120.21,2,468,2,19,4567.98
10304,S18_1342,37,95.55,13,469,3,19,3535.35
10312,S18_1342,43,89.38,10,470,3,19,3843.34
10322,S18_1342,43,86.3,14,471,2,19,3710.9
10332,S18_1342,46,95.13,15,472,2,19,4375.98
10346,S18_1342,42,36.11,3,473,1,19,1516.62
10356,S18_1342,50,50.18,9,474,2,19,2509.0
10369,S18_1342,44,210.01,8,475,2,19,9240.44
10380,S18_1342,27,93.16,13,476,1,19,2515.32
10391,S18_1342,35,158.54,2,477,1,19,5548.9
10422,S18_1342,51,95.55,2,478,2,19,4873.05
10102,S18_1367,41,50.14,1,479,2,20,2055.74
10126,S18_1367,42,54.99,17,480,3,20,2309.58
10139,S18_1367,49,43.13,6,481,2,20,2113.37
10149,S18_1367,30,58.22,3,482,2,20,1746.6
10173,S18_1367,48,44.21,5,483,2,20,2122.08
10182,S18_1367,32,54.45,2,484,1,20,1742.4
10193,S18_1367,46,53.37,6,485,2,20,2455.02
10205,S18_1367,48,63.61,1,486,2,20,3053.28
10215,S18_1367,33,43.13,9,487,2,20,1423.29
10227,S18_1367,31,48.52,2,488,1,20,1504.12
10244,S18_1367,20,58.22,6,489,2,20,1164.4
10256,S18_1367,29,51.75,1,490,2,20,1500.75
10280,S18_1367,27,57.68,8,491,3,20,1557.36
10289,S18_1367,24,56.07,1,492,2,20,1345.68
10304,S18_1367,37,48.52,12,493,3,20,1795.24
10312,S18_1367,25,44.21,9,494,3,20,1105.25
